file_path,case_id,role,paired_file,sample_type,label,source_document,domain,chars,sentences,notes
samples/targets/C001_target.txt,C001,target,samples/references/C001_ref.txt,direct_copy,1,多特征融合的短文本语义相似度计算方法研究_张凝.pdf,text_similarity,1072,13,目标文本与参考文本使用同一来源片段，模拟直接复制。
samples/references/C001_ref.txt,C001,reference,samples/targets/C001_target.txt,direct_copy,1,多特征融合的短文本语义相似度计算方法研究_张凝.pdf,text_similarity,1072,13,目标文本与参考文本使用同一来源片段，模拟直接复制。
samples/targets/C002_target.txt,C002,target,samples/references/C002_ref.txt,direct_copy,1,基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,computer_vision,1013,15,目标文本与参考文本使用同一来源片段，模拟直接复制。
samples/references/C002_ref.txt,C002,reference,samples/targets/C002_target.txt,direct_copy,1,基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,computer_vision,1013,15,目标文本与参考文本使用同一来源片段，模拟直接复制。
samples/targets/C003_target.txt,C003,target,samples/references/C003_ref.txt,direct_copy,1,C县农产品物流园区选址及功能区布局规划研究_张明慧.pdf,agri_logistics,1182,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
samples/references/C003_ref.txt,C003,reference,samples/targets/C003_target.txt,direct_copy,1,C县农产品物流园区选址及功能区布局规划研究_张明慧.pdf,agri_logistics,1182,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
samples/targets/C004_target.txt,C004,target,samples/references/C004_ref.txt,direct_copy,1,个人数字遗产继承的法律保护研究_李苗苗.pdf,law,1111,20,目标文本与参考文本使用同一来源片段，模拟直接复制。
samples/references/C004_ref.txt,C004,reference,samples/targets/C004_target.txt,direct_copy,1,个人数字遗产继承的法律保护研究_李苗苗.pdf,law,1111,20,目标文本与参考文本使用同一来源片段，模拟直接复制。
samples/targets/C005_target.txt,C005,target,samples/references/C005_ref.txt,direct_copy,1,小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,education,1028,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
samples/references/C005_ref.txt,C005,reference,samples/targets/C005_target.txt,direct_copy,1,小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,education,1028,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
